Identifiant de la taxe pour le rapport particulier;Nom de la taxe;Article;Corpus;Organisme affectataire;Classification du Conseil des prélèvements obligatoires;2007;2008;2009;2010;2011;2012 (p);2013 (p)
1462;Contribution sur les mises jouées sur les paris sportifs en ligne de la Française des jeux et des nouveaux opérateurs agréés;;;Centre national pour le développement du sport;Agence de l'État;;;0;;;;
1522;Redevance destinée à financer les missions de service public confiées aux sociétés de courses;;;Sociétés mères de courses de chevaux;Organisme professionnel;;;0;;;;
1523;Prélèvement affecté au Centre des monuments nationaux;;;Centre des monuments nationaux;Agence de l'État;;;0;;;;
1584;Taxe forfaitaire sur le produit de la valorisation des terrains nus et immeubles bâtis résultant de la réalisation d'infrastructures de transport collectif en site propre ou d'infrastructures ferroviaires en Ile-de-France;;;Société du Grand Paris;Agence de l'État;;;0;;;;
1585;Taxe forfaitaire sur le produit de la valorisation des terrains nus et immeubles bâtis résultant de la réalisation d'infrastructures de transport collectif en site propre ou d'infrastructures ferroviaires en Ile-de-France;;;Syndicat des transports d'Ile-de-France;Agence locale;;;0;;;;
1602;Contribution additionnelle aux prélèvements sociaux mentionnés aux articles L. 245-14 et L.245-15 du Code de la sécurité sociale;;;Fonds national des solidarités actives;Prélèvements péréquateurs;;;833;;;;
9914;Taxe sur le chiffre d'affaires des exploitations agricoles;;;CAS développement agricole et rural;Affectation interne;102;106,8;110,5;104,9;110;110,5;110,5
10001;Taxe additionnelle à la taxe sur les certificats d'immatriculation des véhicules instituée par l'article 1011 bis du code général des impôts;;;CAS Aides à l'acquisition de véhicules propres;Affectation interne;;225,4;199,5;186,4;198;234;403,6
10004;Fraction du quota de la taxe d'apprentissage;;;CAS Financement national du développement et de la modernisation de l'apprentissage;Affectation interne;454,2;452;466;478;438;467;453
10005;Versement de l'établissement public prévu à l'article 46 de la loi de finances pour 1997 (établissement de gestion de la contribution exceptionnelle de France Télécom);;;CAS Pensions Section : Pensions civiles et militaires de retraite et allocations temporaires d'invalidité;Affectation interne;;;;;243;;
10006;Contribution de solidarité territoriale;;;CAS Services nationaux de transport conventionnés de voyageurs;Affectation interne;;;;;105,8;90;90
10007;Fraction de la taxe d'aménagement du territoire;;;CAS Services nationaux de transport conventionnés de voyageurs;Affectation interne;;;;;35;35;35
10008;Taxe sur le résultat des entreprises ferroviaires;;;CAS Services nationaux de transport conventionnés de voyageurs;Affectation interne;;;;;75;155;200
10009;Contribution à l'audiovisuel public;;;CCF Avances à l'audiovisuel public;Affectation interne;2800;2900;3000;2998;3222;3290;3398
10011;Fraction de TVA au 3° de l'article 241-2;;;CCF Avances aux organismes de sécurité sociale;Réaffectation aux organismes de sécurité sociale;;;;;;;8803
10012;Fraction de TVA;;;CCF Avances aux organismes de sécurité sociale;Réaffectation aux organismes de sécurité sociale;;;;;;;500
11000;Fraction du produit des amendes forfaitaires;;;Agence de financement des infrastructures de transport de France;Agence de l'État;100;123;115;126;151;198;139
11002;Taxe des industriels;;;Haute autorité de santé;Agence de l'État;3;3;3;4,2;4,2;3,3;4,62
11003;Fraction de 44% de la taxe sur les dipositifs médicaux;;;Haute autorité de santé;Agence de l'État;8;8;7;8,9;12,1;10;10
11004;Contribution au fonds de garantie des dépôts;;;Fonds de garantie des dépôts;Prélèvements péréquateurs;2,1196;1,7731;1,969;90,8;90,8;90,8;0,8
12000;CVO agricole;;;ACTA;Organisme professionnel;;;0;0;0;0;0
12000;CVO agricole;;;ADECIA;Organisme professionnel;;;0;0;0;0;0
12000;CVO agricole;;;AFICAR;Organisme professionnel;;;0;0;0;0;0
12000;CVO agricole;;;AFIDOL;Organisme professionnel;;;1,036;0,84;0,968;0;0
12000;CVO agricole;;;Agence Bio;Organisme professionnel;;;0;0;0;0;0
12000;CVO agricole;;;AIBS;Organisme professionnel;;;4,084;4,578;3,771;0;0
12000;CVO agricole;;;ANIBI;Organisme professionnel;;;0;0;0;0;0
12000;CVO agricole;;;ANICAP;Organisme professionnel;;;0,911;1,118;1,714;0;0
12000;CVO agricole;;;ANIVIN;Organisme professionnel;;;2,544;1,21;1,104;0;0
12000;CVO agricole;;;ANSGAEC;Organisme professionnel;;;0;0;0;0;0
12000;CVO agricole;;;APCA;Organisme professionnel;;;0;0;0;0;0
12000;CVO agricole;;;ARTB;Organisme professionnel;;;0;0;0;0;0
12000;CVO agricole;;;ARVALIS;Organisme professionnel;;;0;0;0;0;0
12000;CVO agricole;;;ASTREDHOR;Organisme professionnel;;;0;0;0,28;0;0
12000;CVO agricole;;;ATM;Organisme professionnel;;;12,449;13,713;13,174;0;0
12000;CVO agricole;;;BIK;Organisme professionnel;;;0,684;0,82;0,72;0;0
12000;CVO agricole;;;BIP;Organisme professionnel;;;0;0;0;0;0
12000;CVO agricole;;;BIVB;Organisme professionnel;;;9,496;8,437;10,819;0;0
12000;CVO agricole;;;BIVC;Organisme professionnel;;;0,788;0,76;0,885;0;0
12000;CVO agricole;;;BNIA;Organisme professionnel;;;0,275;0,745;0,832;0;0
12000;CVO agricole;;;BNIC;Organisme professionnel;;;9,569;8,758;10,038;0;0
12000;CVO agricole;;;CENECA;Organisme professionnel;;;0;0;0;0;0
12000;CVO agricole;;;CETIOM;Organisme professionnel;;;0;0;0;0;0
12000;CVO agricole;;;CIDEF;Organisme professionnel;;;1,248;0,794;0,76;0;0
12000;CVO agricole;;;CIF;Organisme professionnel;;;1;1;0;0;0
12000;CVO agricole;;;CIFG;Organisme professionnel;;;0,241;0,261;0,293;0;0
12000;CVO agricole;;;CIFOG;Organisme professionnel;;;2,845;5,506;5,566;0;0
12000;CVO agricole;;;CIGC;Organisme professionnel;;;0;0;0;0;0
12000;CVO agricole;;;CIHEF;Organisme professionnel;;;0,172;0,276;0,225;0;0
12000;CVO agricole;;;CILOUEST;Organisme professionnel;;;0;0,248;0,349;0;0
12000;CVO agricole;;;CILVERPUY;Organisme professionnel;;;0,157;0,172;0,127;0;0
12000;CVO agricole;;;CIP;Organisme professionnel;;;0,338;0,338;0;0;0
12000;CVO agricole;;;CIPA;Organisme professionnel;;;0;0,91;0,937;0;0
12000;CVO agricole;;;CIPALIN;Organisme professionnel;;;1,521;1,328;1,102;0;0
12000;CVO agricole;;;CIRT-DOM;Organisme professionnel;;;0,536;0,564;0,593;0;0
12000;CVO agricole;;;CIV - Corse;Organisme professionnel;;;0;0,124;0,399;0;0
12000;CVO agricole;;;CIVA;Organisme professionnel;;;7,898;7,898;7,487;0;0
12000;CVO agricole;;;CIVB (Bordeaux);Organisme professionnel;;;27,192;29,73;32,281;0;0
12000;CVO agricole;;;CIVB (Volaille de Bresse);Organisme professionnel;;;0;0;0;0;0
12000;CVO agricole;;;CIVC;Organisme professionnel;;;17,116;14,994;16,034;0;0
12000;CVO agricole;;;CIVJ;Organisme professionnel;;;0,245;0,243;0,237;0;0
12000;CVO agricole;;;CIVL;Organisme professionnel;;;3,702;3,508;3,747;0;0
12000;CVO agricole;;;CIVP;Organisme professionnel;;;2,912;3,53;3,638;0;0
12000;CVO agricole;;;CIVR;Organisme professionnel;;;2,998;2,824;2,751;0;0
12000;CVO agricole;;;CIVRB;Organisme professionnel;;;2,039;2,071;1,994;0;0
12000;CVO agricole;;;CLIPP;Organisme professionnel;;;0;2,23;2,659;0;0
12000;CVO agricole;;;CNC;Organisme professionnel;;;0,819;0,785;0,826;0;0
12000;CVO agricole;;;CNDB;Organisme professionnel;;;0;0;0;0;0
12000;CVO agricole;;;CNIEL;Organisme professionnel;;;36,374;37,391;39,226;0;0
12000;CVO agricole;;;CNIPT;Organisme professionnel;;;6,316;5,812;5,776;0;0
12000;CVO agricole;;;CNPC;Organisme professionnel;;;1,231;1,194;1,16;0;0
12000;CVO agricole;;;CNPMEM;Organisme professionnel;;;2,113;1,751;1,764;0;0
12000;CVO agricole;;;CNPO;Organisme professionnel;;;0,573;0,611;0,641;0;0
12000;CVO agricole;;;CNPPF/CRPF;Organisme professionnel;;;0;0;0;0;0
12000;CVO agricole;;;CTCPA;Organisme professionnel;;;0;0;0;0;0
12000;CVO agricole;;;CTIFL;Organisme professionnel;;;0;0;0;0;0
12000;CVO agricole;;;EPC;Organisme professionnel;;;0;0;0;0;0
12000;CVO agricole;;;France Bois Forêt;Organisme professionnel;;;4,129;6,043;5,966;0;0
12000;CVO agricole;;;FranceAgriMer;Organisme professionnel;;;0;0;0;0;0
12000;CVO agricole;;;Gl PT;Organisme professionnel;;;0,362;0,338;0,357;0;0
12000;CVO agricole;;;GNIS;Organisme professionnel;;;24,981;25,663;25,905;0;0
12000;CVO agricole;;;HCCA;Organisme professionnel;;;1,25;1,321;0;0;0
12000;CVO agricole;;;IB;Organisme professionnel;;;5,657;5,585;5,537;0;0
12000;CVO agricole;;;ICF;Organisme professionnel;;;0;0,027;0,025;0;0
12000;CVO agricole;;;IDAC;Organisme professionnel;;;0;1,026;1,061;0;0
12000;CVO agricole;;;IDE;Organisme professionnel;;;0;0;0;0;0
12000;CVO agricole;;;IFCE;Organisme professionnel;;;0;0;0;0;0
12000;CVO agricole;;;IFIP;Organisme professionnel;;;0;0;0;0;0
12000;CVO agricole;;;IFN;Organisme professionnel;;;0;0;0;0;0
12000;CVO agricole;;;IFPC;Organisme professionnel;;;0;0;0;0;0
12000;CVO agricole;;;IFVV;Organisme professionnel;;;0;0;0;0;0
12000;CVO agricole;;;INAO;Organisme professionnel;;;0;0;0;0;0
12000;CVO agricole;;;INAPORC;Organisme professionnel;;;7,703;8,142;7,932;0;0
12000;CVO agricole;;;INTERBEV;Organisme professionnel;;;35,395;35,469;35,804;0;0
12000;CVO agricole;;;INTERCEREALES;Organisme professionnel;;;30,83;31,89;30,101;0;0
12000;CVO agricole;;;INTERFEL;Organisme professionnel;;;9;10,061;9,871;0;0
12000;CVO agricole;;;INTEROC;Organisme professionnel;;;2,767;2,704;2,642;0;0
12000;CVO agricole;;;IR;Organisme professionnel;;;14,747;15,528;14,482;0;0
12000;CVO agricole;;;ITAVI;Organisme professionnel;;;0;0;0;0;0
12000;CVO agricole;;;IVL - Inter-Loire;Organisme professionnel;;;9,106;8,813;8,402;0;0
12000;CVO agricole;;;IVSO - ex CIVSO;Organisme professionnel;;;1,124;1,48;1,812;0;0
12000;CVO agricole;;;ONIDOL;Organisme professionnel;;;2,113;21,487;21,831;0;0
12000;CVO agricole;;;SESAME;Organisme professionnel;;;0;0;0;0;0
12000;CVO agricole;;;SONITO;Organisme professionnel;;;0;0;0;0;0
12000;CVO agricole;;;TOTAL;Organisme professionnel;311,5;314,8;;;0;359;363
12000;CVO agricole;;;TRAME;Organisme professionnel;;;0;0;0;0;0
12000;CVO agricole;;;UIVC;Organisme professionnel;;;0,612;0,569;0,54;0;0
12000;CVO agricole;;;UIVD;Organisme professionnel;;;0,157;0,147;0,171;0;0
12000;CVO agricole;;;UNICID;Organisme professionnel;;;1,175;2,237;2,058;0;0
12000;CVO agricole;;;UNIP;Organisme professionnel;;;1,289;2,003;1,309;0;0
12000;CVO agricole;;;VAL'HOR;Organisme professionnel;;;4,287;4,074;4,675;0;0
9912;Contribution annuelle acquittée par les personnes inscrites comme commissaires aux comptes et droit fixe sur chaque rapport de certification des comptes;article L. 821-5;code de commerce;Haut conseil du commissariat aux comptes;Organisme professionnel;;;;0;0;0;0
49;Participation des employeurs à l'effort de construction (1% logement);article L. 313-1;code de la construction et de l'habitation;Agence nationale pour la participation des employeurs à l’effort de construction;Contribution rendue obligatoire par l'État;1410;1421;1676;1544;1569;1630;1683
1402;Prélèvement sur le potentiel financier des organismes HLM et SEM;article L. 423-14;code de la construction et de l'habitation;Caisse de garantie du logement locatif social;Agence de l'État;;;;10;;;
9874;Prélèvement sur le potentiel financier des organismes HLM et SEM (péréquation entre organismes de logement social);article L. 423-14;code de la construction et de l'habitation;Caisse de garantie du logement locatif social;Agence de l'État;;;;0;175;175;175
50;Cotisation versée par les organismes HLM et les SEM;article L. 452-4;code de la construction et de l'habitation;Caisse de garantie du logement locatif social;Agence de l'État;74;73;73;69;68;68;68
137;Cotisation additionnelle versée par les organismes HLM et les SEM;article L. 452-4-1;code de la construction et de l'habitation;Caisse de garantie du logement locatif social;Agence de l'État;;;60;57;130;130;130
137;Cotisation additionnelle versée par les organismes HLM et les SEM;article L. 452-7;code de la construction et de l'habitation;Caisse de garantie du logement locatif social;Agence de l'État;54;62;;;;;
61;Taxes de protection des obtentions végétales;article L. 623-16;code de la propriété intellectuelle;Instance nationale des obtentions végétales;Agence de l'État;;;;0;0;0;0
61;Taxes de protection des obtentions végétales;article L. 623-16;code de la propriété intellectuelle;Institut national de la recherche agronomique;Agence de l'État;;;;0;;;
61;Taxes de protection des obtentions végétales;article L. 623-16;code de la propriété intellectuelle;Institut national de recherche agronomique;Agence de l'État;;;;;;;
61;Taxes de protection des obtentions végétales;article L. 623-16;code de la propriété intellectuelle;Multiples (État);Agence de l'État;1;1;1;;;;
66;Redevances perçues à l'occasion des procédures et formalités en matière de propriété industrielle ainsi que de registre du commerce et des sociétés, établies par divers textes;articles L. 611-1 à L. 615-22 et L. 4111-1 à L. 4111-5;code de la propriété intellectuelle;Institut national de la propriété industrielle;Agence de l'État;156;173;166;170;175;172;175
681;Taxe additionnelle à la taxe sur les demandes d'autorisation de recherche biomédicale;article L. 1123-8;code de la santé publique;Comités de protection des personnes;Agence de l'État;;3;;;;;
680;Taxe sur les demandes d'autorisation de recherche biomédicale (taxe essais cliniques);article L. 1123-8 et L.1123-9;code de la santé publique;Agence nationale de sécurité du médicament et des produits de santé;Agence de l'État;2;2;;;;;
1222;Droit progressif sur l'enregistrement des produits homéopathiques;article L. 5121-15 (premier alinéa);code de la santé publique;Agence nationale de sécurité du médicament et des produits de santé;Agence de l'État;;0;0;0;0;;2
1224;Enregistrement des médicaments traditionnels à base de plantes;article L. 5121-15 (second alinea);code de la santé publique;Agence nationale de sécurité du médicament et des produits de santé;Agence de l'État;;0;0;1;0;;2
677;Droit progressif sur les demandes d'autorisation de mise sur le marché de médicaments;article L. 5121-16 et L. 5121-15;code de la santé publique;Agence nationale de sécurité du médicament et des produits de santé;Agence de l'État;;39;41;39;41;41;72
675;Taxe annuelle sur les médicaments et les produits bénéficiaires d'une autorisation de mise sur le marché;article L. 5121-17;code de la santé publique;Agence nationale de sécurité du médicament et des produits de santé;Agence de l'État;19;20;25;24;27;24;48
675;Taxe annuelle sur les médicaments et les produits bénéficiaires d'une autorisation de mise sur le marché;article L. 5121-17;code de la santé publique;Comités de protection des personnes;Agence de l'État;;0;0;0;;;
682;Taxe sur les demandes de visa ou de renouvellement de visa de publicité et sur les dépôts de publicité pharmaceutique;article L. 5122-5;code de la santé publique;Agence nationale de sécurité du médicament et des produits de santé;Agence de l'État;5;5;5;6;5;6;9
683;Droit sur les inspections menées en vue de la délivrance du certificat de conformité mentionné à l'article L5138-4 du code de la santé publique;article L. 5138-5;code de la santé publique;Agence nationale de sécurité du médicament et des produits de santé;Agence de l'État;;0;0;0;0;;2
185;Taxe perçue lors de la mise sur le marché de médicaments vétérinaires, ainsi qu'une taxe annuelle pour certaines autorisations ou enregistrements;article L. 5141-8, D 5141-55 à D 5141-61;code de la santé publique;Agence nationale de sécurité sanitaire, de l'alimentation, de l'environnement et du travail;Agence de l'État;6;5;5;5;5;6;6
676;Taxe annuelle relative aux dispositifs médicaux mis sur le marché français;article L. 5211-5-1;code de la santé publique;Haute autorité de santé;Agence de l'État;17;17;17;17,6;17;14;16
676;Taxe annuelle relative aux dispositifs médicaux mis sur le marché français;article L. 5211-5-2;code de la santé publique;Agence nationale de sécurité du médicament et des produits de santé;Agence de l'État;;16;;16;;17;
679;Taxe annuelle due par tout laboratoire public ou privé d'analyses de biologie médicale (CNQ);article L. 6213-4;code de la santé publique;Agence nationale de sécurité du médicament et des produits de santé;Agence de l'État;;2;2;2;2;2;4
1223;"Taxe annuelle relative aux dispositifs médicaux et sur les dispositifs médicaux de diagnostic ""in vitro"" mis sur le marché français";articles L. 5221-5-2 et L. 5221-7;code de la santé publique;Agence nationale de sécurité du médicament et des produits de santé;Agence de l'État;;;;;;;
1223;"Taxe annuelle relative aux dispositifs médicaux et sur les dispositifs médicaux de diagnostic ""in vitro"" mis sur le marché français";articles L. 5221-5-2 et L. 5221-7;code de la santé publique;Comités de protection des personnes;Agence de l'État;;0;0;0;18;;18
1223;"Taxe annuelle relative aux dispositifs médicaux et sur les dispositifs médicaux de diagnostic ""in vitro"" mis sur le marché français";articles L. 5221-5-2 et L. 5221-7;code de la santé publique;Multiples (État);Agence de l'État;16;16;17;17;;18;
138;TVA brute sur les produits pharmaceutiques (commerce de gros);article L. 131-8;code de la sécurité sociale;Divers régimes de sécurité sociale;Réaffectation aux organismes de sécurité sociale;;;;;;;
139;TVA brute sur les tabacs;article L. 131-8;code de la sécurité sociale;Divers régimes de sécurité sociale;Réaffectation aux organismes de sécurité sociale;;;;;;;
180;Taxe sur les salaires;article L. 131-8;code de la sécurité sociale;Divers régimes de sécurité sociale;Réaffectation aux organismes de sécurité sociale;10494;;;;;;
9981;Redevances UMTS 2G et 3G ;article L. 135-3;code de la sécurité sociale;Fonds de solidarité vieillesse;Réaffectation aux organismes de sécurité sociale;;;;874;138;-18;57
898;Taxe sur les contributions patronales au financement de la prévoyance complémentaire;article L. 137-1 à L 137-4;code de la sécurité sociale;Caisse nationale d'assurance maladie des travailleurs salariés;Affectation initiale aux organismes de sécurité sociale;;;;712;739;0;0
898;Taxe sur les contributions patronales au financement de la prévoyance complémentaire;article L. 137-1 à L 137-4;code de la sécurité sociale;Divers régimes de sécurité sociale;Affectation initiale aux organismes de sécurité sociale;638;682;704;;;;
898;Taxe sur les contributions patronales au financement de la prévoyance complémentaire;article L. 137-1 à L. 137-4;code de la sécurité sociale;Divers régimes de sécurité sociale;Affectation initiale aux organismes de sécurité sociale;;;;;;;
939;Contribution sur les avantages de préretraite d’entreprise;article L. 137-10;code de la sécurité sociale;Caisse nationale d'assurance vieillesse des travailleurs salariés;Affectation initiale aux organismes de sécurité sociale;;;;198;198;188;183
939;Contribution sur les avantages de préretraite d’entreprise;article L. 137-10;code de la sécurité sociale;Fonds de solidarité vieillesse;Affectation initiale aux organismes de sécurité sociale;;;;;;;
939;Contribution sur les avantages de préretraite d’entreprise;article L. 137-10;code de la sécurité sociale;Multiples (social);Affectation initiale aux organismes de sécurité sociale;;134;156;;;;
1118;Contribution sur les régimes de retraite conditionnant la constitution de droits à prestations à l’achèvement de la carrière du bénéficiaire dans l’entreprise;article L. 137-11;code de la sécurité sociale;Fonds de solidarité vieillesse;Affectation initiale aux organismes de sécurité sociale;;25;26;48;111;114;177
940;Contribution sur les indemnités de mise à la retraite;article L. 137-12;code de la sécurité sociale;Caisse nationale d'assurance vieillesse des travailleurs salariés;Affectation initiale aux organismes de sécurité sociale;;209;398;222;47;39;32
941;Contributions patronales et salariales sur les attributions d’options (stock-options) de souscription ou d’achat des actions et sur les attributions gratuites;article L. 137-13 et L 137-14;code de la sécurité sociale;Caisse nationale d'assurance maladie des travailleurs salariés;Affectation initiale aux organismes de sécurité sociale;0;199;133;183;262;373;572
9901;Contribution salariale sur les carried-interests;article L. 137-18;code de la sécurité sociale;Régimes obligatoires d'assurance maladie;Affectation initiale aux organismes de sécurité sociale;;;;0;2;2;2
9873;Prélèvement sur les appels téléphoniques surtaxés pour les jeux télévisés et radiodiffusés;article L. 137-19;code de la sécurité sociale;Caisse nationale d'assurance maladie des travailleurs salariés;Affectation initiale aux organismes de sécurité sociale;;;;1;2;2;2
9751;Prélèvements sur les jeux d’argent inscrits aux art. L 137-19 à L 137-22 du Code de la sécurité sociale;article L. 137-24;code de la sécurité sociale;Institut national de prévention et d'éducation pour la santé;Agence de l'État;;;0;5;5;5;5
9751;Prélèvements sur les jeux d’argent inscrits aux art. L 137-19 à L 137-22 du Code de la sécurité sociale;article L. 137-24;code de la sécurité sociale;Régimes obligatoires d'assurance maladie;Affectation initiale aux organismes de sécurité sociale;;;0;89;211;223;228
9898;Contribution sur les contrats d'assurance en matière de circulation de véhicules terrestres à moteur;article L. 137-6;code de la sécurité sociale;Caisse nationale d'allocations familiales;Affectation initiale aux organismes de sécurité sociale;892;;928;;1018;1064;1085
9898;Contribution sur les contrats d'assurance en matière de circulation de véhicules terrestres à moteur;article L. 137-6;code de la sécurité sociale;Caisse nationale d'assurance maladie des travailleurs salariés;Affectation initiale aux organismes de sécurité sociale;;910;;946;;;
182;Taxes sur les primes d'assurance automobile;article L. 137-6 et L 131-8;code de la sécurité sociale;Divers régimes de sécurité sociale;Affectation initiale aux organismes de sécurité sociale;966;947;951;969;1001;1001;1001
16;Contribution due par les laboratoires et les grossistes répartiteurs sur les ventes en gros aux officines pharmaceutiques;article L. 138-1 à L. 138-9;code de la sécurité sociale;Caisse centrale de la mutualité sociale agricole;Affectation initiale aux organismes de sécurité sociale;;;;;;;
16;Contribution due par les laboratoires et les grossistes répartiteurs sur les ventes en gros aux officines pharmaceutiques;article L. 138-1 à L. 138-9;code de la sécurité sociale;Caisse nationale d'assurance maladie des travailleurs non salariés;Affectation initiale aux organismes de sécurité sociale;;;;;;;
16;Contribution due par les laboratoires et les grossistes répartiteurs sur les ventes en gros aux officines pharmaceutiques;article L. 138-1 à L. 138-9;code de la sécurité sociale;Caisse nationale d'assurance maladie des travailleurs salariés;Affectation initiale aux organismes de sécurité sociale;;;;;;;
16;Contribution due par les laboratoires et les grossistes répartiteurs sur les ventes en gros aux officines pharmaceutiques;article L. 138-1 à L. 138-9;code de la sécurité sociale;Multiples (social);Affectation initiale aux organismes de sécurité sociale;;378;;;;;
