uid,tax-identifier,tax-name,article,corpus,organisme-affectataire,classification,date,montant
14,234,Cotisations (normale et supplémentaire) des entreprises cinématographiques,,,Centre national du cinéma et de l'image animée,Agence de l'État,2009-01-01,7.0
15,239,Redevance d'archéologie préventive,,,Autres opérateurs agréés,Agence de l'État,2010-01-01,5.0
16,239,Redevance d'archéologie préventive,,,Autres opérateurs agréés,Agence de l'État,2012-01-01,5.0
17,239,Redevance d'archéologie préventive,,,Institut national de recherche en archéologie préventive,Agence de l'État,2007-01-01,42.36
18,239,Redevance d'archéologie préventive,,,Multiples (hors INRAP),Agence de l'État,2007-01-01,20.64
19,254,"Redevances pour pollution de l'eau, modernisation des réseaux de collecte, pollutions diffuses, prélèvement sur la ressource en eau, stockage d'eau en période d'étiage, obstacle sur les cours d'eau et protection du milieu aquatique",,,Agences de l'eau,Agence de l'État,2007-01-01,1729.0
20,254,"Redevances pour pollution de l'eau, modernisation des réseaux de collecte, pollutions diffuses, prélèvement sur la ressource en eau, stockage d'eau en période d'étiage, obstacle sur les cours d'eau et protection du milieu aquatique",,,Agences de l'eau,Agence de l'État,2009-01-01,1923.0
21,256,Droit de francisation et de navigation,,,Conservatoire de l'espace littoral et des rivages lacustres,Agence de l'État,2007-01-01,36.0
22,261,"Taxe intérieure de consommation sur les houilles, lignites et cokes",,,Agence de l'environnement et de la maîtrise de l'énergie,Agence de l'État,2007-01-01,0.4
23,280,Redevances cynégétiques,,,Office national de la chasse et de la faune sauvage,Agence de l'État,2007-01-01,73.0
24,281,Prélèvement sur le produit des primes ou cotisations additionnelles relatives à la garantie contre le risque de catastrophes naturelles,,,Fonds de prévention des risques naturels majeurs,Contribution rendue obligatoire par l'État,2007-01-01,53.0
25,282,Taxe sur les installations nucléaires de base,,,Institut de radioprotection et de sûreté nucléaire,Agence de l'État,2007-01-01,10.0
26,634,Droits de consommation sur les tabacs,,,Fonds unique de péréquation,Contribution rendue obligatoire par l'État,2007-01-01,114.0
27,676,Taxe annuelle relative aux dispositifs médicaux mis sur le marché français,,,Agence nationale de sécurité du médicament et des produits de santé,Agence de l'État,2007-01-01,16.0
28,676,Taxe annuelle relative aux dispositifs médicaux mis sur le marché français,,,Agence nationale de sécurité du médicament et des produits de santé,Agence de l'État,2009-01-01,16.0
29,677,Droit progressif sur les demandes d'autorisation de mise sur le marché de médicaments,,,Agence nationale de sécurité du médicament et des produits de santé,Agence de l'État,2007-01-01,33.0
30,679,Taxe annuelle due par tout laboratoire public ou privé d'analyses de biologie médicale (CNQ),,,Agence nationale de sécurité du médicament et des produits de santé,Agence de l'État,2007-01-01,2.0
31,681,Taxe additionnelle à la taxe sur les demandes d'autorisation de recherche biomédicale,,,Comités de protection des personnes,Agence de l'État,2007-01-01,2.0
32,683,Droit sur les inspections menées en vue de la délivrance du certificat de conformité mentionné à l'article L5138-4 du code de la santé publique,,,Agence nationale de sécurité du médicament et des produits de santé,Agence de l'État,2007-01-01,0.0
33,695,Contribution forfaitaire due par les employeurs de main d'oeuvre permanente,,,Office français de l'immigration et de l'intégration,Agence de l'État,2007-01-01,19.0
34,855,Taxe sur le prix des entrées aux séances organisées dans les établissements de spectacles cinématographiques,,,Centre national du cinéma et de l'image animée,Agence de l'État,2007-01-01,117.0
35,856,Taxe sur les services de télévision,,,Centre national du cinéma et de l'image animée,Agence de l'État,2007-01-01,362.0
36,856,Taxe sur les services de télévision,,,Centre national du cinéma et de l'image animée,Agence de l'État,2009-01-01,451.0
37,857,Taxe sur les ventes et les locations de vidéogrammes destinés à l'usage privé du public (taxe vidéo et VOD),,,Centre national du cinéma et de l'image animée,Agence de l'État,2007-01-01,66.0
38,857,Taxe sur les ventes et les locations de vidéogrammes destinés à l'usage privé du public (taxe vidéo et VOD),,,Centre national du cinéma et de l'image animée,Agence de l'État,2009-01-01,33.0
39,939,Contribution sur les avantages de préretraite d’entreprise,,,Multiples (social),Affectation initiale aux organismes de sécurité sociale,2007-01-01,81.0
40,940,Contribution sur les indemnités de mise à la retraite,,,Caisse nationale d'assurance vieillesse des travailleurs salariés,Affectation initiale aux organismes de sécurité sociale,2007-01-01,0.0
41,1038,Contribution des employeurs publics au fonds pour l'insertion des personnes handicapées dans la fonction publique (FIPHFP),,,Établissement public administratif chargé de la gestion du fonds pour l'insertion des personnes handicapées dans la fonction publique,Agence de l'État,2007-01-01,165.0
42,1098,"Contributions additionnelles de 1,1 % au prélèvement de 2 % sur les revenus du patrimoine et les produits de placements",,,Fonds national des solidarités actives,Prélèvements péréquateurs,2007-01-01,0.0
43,1118,Contribution sur les régimes de retraite conditionnant la constitution de droits à prestations à l’achèvement de la carrière du bénéficiaire dans l’entreprise,,,Fonds de solidarité vieillesse,Affectation initiale aux organismes de sécurité sociale,2007-01-01,28.0
44,1139,"Droit de circulation sur les vins, cidres, poirés et hydromels",,,Régime de protection sociale des non salariés agricoles,Réaffectation aux organismes de sécurité sociale,2009-01-01,117.0
45,1140,Taxe sur les véhicules de société,,,Régime de protection sociale des non salariés agricoles,Réaffectation aux organismes de sécurité sociale,2009-01-01,1114.0
46,1381,Droits de consommation sur les tabacs,,,Fonds de solidarité,Agence de l'État,2009-01-01,124.0
47,1402,Prélèvement sur le potentiel financier des organismes HLM et SEM,,,Caisse de garantie du logement locatif social,Agence de l'État,2009-01-01,0.0
48,1442,Péréquation entre organismes de logement social,,,Caisse de garantie du logement locatif social,Agence de l'État,2009-01-01,0.0
49,1462,Contribution sur les mises jouées sur les paris sportifs en ligne de la Française des jeux et des nouveaux opérateurs agréés,,,Centre national pour le développement du sport,Agence de l'État,2009-01-01,0.0
50,1522,Redevance destinée à financer les missions de service public confiées aux sociétés de courses,,,Sociétés mères de courses de chevaux,Organisme professionnel,2009-01-01,0.0
51,1523,Prélèvement affecté au Centre des monuments nationaux,,,Centre des monuments nationaux,Agence de l'État,2009-01-01,0.0
52,1584,Taxe forfaitaire sur le produit de la valorisation des terrains nus et immeubles bâtis résultant de la réalisation d'infrastructures de transport collectif en site propre ou d'infrastructures ferroviaires en Ile-de-France,,,Société du Grand Paris,Agence de l'État,2009-01-01,0.0
53,1585,Taxe forfaitaire sur le produit de la valorisation des terrains nus et immeubles bâtis résultant de la réalisation d'infrastructures de transport collectif en site propre ou d'infrastructures ferroviaires en Ile-de-France,,,Syndicat des transports d'Ile-de-France,Agence locale,2009-01-01,0.0
54,1602,Contribution additionnelle aux prélèvements sociaux mentionnés aux articles L. 245-14 et L.245-15 du Code de la sécurité sociale,,,Fonds national des solidarités actives,Prélèvements péréquateurs,2009-01-01,833.0
55,9914,Taxe sur le chiffre d'affaires des exploitations agricoles,,,CAS développement agricole et rural,Affectation interne,2007-01-01,102.0
56,9914,Taxe sur le chiffre d'affaires des exploitations agricoles,,,CAS développement agricole et rural,Affectation interne,2008-01-01,106.8
57,9914,Taxe sur le chiffre d'affaires des exploitations agricoles,,,CAS développement agricole et rural,Affectation interne,2009-01-01,110.5
58,9914,Taxe sur le chiffre d'affaires des exploitations agricoles,,,CAS développement agricole et rural,Affectation interne,2010-01-01,104.9
59,9914,Taxe sur le chiffre d'affaires des exploitations agricoles,,,CAS développement agricole et rural,Affectation interne,2011-01-01,110.0
60,9914,Taxe sur le chiffre d'affaires des exploitations agricoles,,,CAS développement agricole et rural,Affectation interne,2012-01-01,110.5
61,9914,Taxe sur le chiffre d'affaires des exploitations agricoles,,,CAS développement agricole et rural,Affectation interne,2013-01-01,110.5
62,10001,Taxe additionnelle à la taxe sur les certificats d'immatriculation des véhicules instituée par l'article 1011 bis du code général des impôts,,,CAS Aides à l'acquisition de véhicules propres,Affectation interne,2008-01-01,225.4
63,10001,Taxe additionnelle à la taxe sur les certificats d'immatriculation des véhicules instituée par l'article 1011 bis du code général des impôts,,,CAS Aides à l'acquisition de véhicules propres,Affectation interne,2009-01-01,199.5
64,10001,Taxe additionnelle à la taxe sur les certificats d'immatriculation des véhicules instituée par l'article 1011 bis du code général des impôts,,,CAS Aides à l'acquisition de véhicules propres,Affectation interne,2010-01-01,186.4
65,10001,Taxe additionnelle à la taxe sur les certificats d'immatriculation des véhicules instituée par l'article 1011 bis du code général des impôts,,,CAS Aides à l'acquisition de véhicules propres,Affectation interne,2011-01-01,198.0
66,10001,Taxe additionnelle à la taxe sur les certificats d'immatriculation des véhicules instituée par l'article 1011 bis du code général des impôts,,,CAS Aides à l'acquisition de véhicules propres,Affectation interne,2012-01-01,234.0
67,10001,Taxe additionnelle à la taxe sur les certificats d'immatriculation des véhicules instituée par l'article 1011 bis du code général des impôts,,,CAS Aides à l'acquisition de véhicules propres,Affectation interne,2013-01-01,403.6
68,10004,Fraction du quota de la taxe d'apprentissage,,,CAS Financement national du développement et de la modernisation de l'apprentissage,Affectation interne,2007-01-01,454.2
69,10004,Fraction du quota de la taxe d'apprentissage,,,CAS Financement national du développement et de la modernisation de l'apprentissage,Affectation interne,2008-01-01,452.0
70,10004,Fraction du quota de la taxe d'apprentissage,,,CAS Financement national du développement et de la modernisation de l'apprentissage,Affectation interne,2009-01-01,466.0
71,10004,Fraction du quota de la taxe d'apprentissage,,,CAS Financement national du développement et de la modernisation de l'apprentissage,Affectation interne,2010-01-01,478.0
72,10004,Fraction du quota de la taxe d'apprentissage,,,CAS Financement national du développement et de la modernisation de l'apprentissage,Affectation interne,2011-01-01,438.0
73,10004,Fraction du quota de la taxe d'apprentissage,,,CAS Financement national du développement et de la modernisation de l'apprentissage,Affectation interne,2012-01-01,467.0
74,10004,Fraction du quota de la taxe d'apprentissage,,,CAS Financement national du développement et de la modernisation de l'apprentissage,Affectation interne,2013-01-01,453.0
75,10005,Versement de l'établissement public prévu à l'article 46 de la loi de finances pour 1997 (établissement de gestion de la contribution exceptionnelle de France Télécom),,,CAS Pensions Section : Pensions civiles et militaires de retraite et allocations temporaires d'invalidité,Affectation interne,2011-01-01,243.0
76,10006,Contribution de solidarité territoriale,,,CAS Services nationaux de transport conventionnés de voyageurs,Affectation interne,2011-01-01,105.8
77,10006,Contribution de solidarité territoriale,,,CAS Services nationaux de transport conventionnés de voyageurs,Affectation interne,2012-01-01,90.0
78,10006,Contribution de solidarité territoriale,,,CAS Services nationaux de transport conventionnés de voyageurs,Affectation interne,2013-01-01,90.0
79,10007,Fraction de la taxe d'aménagement du territoire,,,CAS Services nationaux de transport conventionnés de voyageurs,Affectation interne,2011-01-01,35.0
80,10007,Fraction de la taxe d'aménagement du territoire,,,CAS Services nationaux de transport conventionnés de voyageurs,Affectation interne,2012-01-01,35.0
81,10007,Fraction de la taxe d'aménagement du territoire,,,CAS Services nationaux de transport conventionnés de voyageurs,Affectation interne,2013-01-01,35.0
82,10008,Taxe sur le résultat des entreprises ferroviaires,,,CAS Services nationaux de transport conventionnés de voyageurs,Affectation interne,2011-01-01,75.0
83,10008,Taxe sur le résultat des entreprises ferroviaires,,,CAS Services nationaux de transport conventionnés de voyageurs,Affectation interne,2012-01-01,155.0
84,10008,Taxe sur le résultat des entreprises ferroviaires,,,CAS Services nationaux de transport conventionnés de voyageurs,Affectation interne,2013-01-01,200.0
85,10009,Contribution à l'audiovisuel public,,,CCF Avances à l'audiovisuel public,Affectation interne,2007-01-01,2800.0
86,10009,Contribution à l'audiovisuel public,,,CCF Avances à l'audiovisuel public,Affectation interne,2008-01-01,2900.0
87,10009,Contribution à l'audiovisuel public,,,CCF Avances à l'audiovisuel public,Affectation interne,2009-01-01,3000.0
88,10009,Contribution à l'audiovisuel public,,,CCF Avances à l'audiovisuel public,Affectation interne,2010-01-01,2998.0
89,10009,Contribution à l'audiovisuel public,,,CCF Avances à l'audiovisuel public,Affectation interne,2011-01-01,3222.0
90,10009,Contribution à l'audiovisuel public,,,CCF Avances à l'audiovisuel public,Affectation interne,2012-01-01,3290.0
91,10009,Contribution à l'audiovisuel public,,,CCF Avances à l'audiovisuel public,Affectation interne,2013-01-01,3398.0
92,10011,Fraction de TVA au 3° de l'article 241-2,,,CCF Avances aux organismes de sécurité sociale,Réaffectation aux organismes de sécurité sociale,2013-01-01,8803.0
93,10012,Fraction de TVA,,,CCF Avances aux organismes de sécurité sociale,Réaffectation aux organismes de sécurité sociale,2013-01-01,500.0
94,11000,Fraction du produit des amendes forfaitaires,,,Agence de financement des infrastructures de transport de France,Agence de l'État,2007-01-01,100.0
95,11000,Fraction du produit des amendes forfaitaires,,,Agence de financement des infrastructures de transport de France,Agence de l'État,2008-01-01,123.0
96,11000,Fraction du produit des amendes forfaitaires,,,Agence de financement des infrastructures de transport de France,Agence de l'État,2009-01-01,115.0
97,11000,Fraction du produit des amendes forfaitaires,,,Agence de financement des infrastructures de transport de France,Agence de l'État,2010-01-01,126.0
98,11000,Fraction du produit des amendes forfaitaires,,,Agence de financement des infrastructures de transport de France,Agence de l'État,2011-01-01,151.0
99,11000,Fraction du produit des amendes forfaitaires,,,Agence de financement des infrastructures de transport de France,Agence de l'État,2012-01-01,198.0
100,11000,Fraction du produit des amendes forfaitaires,,,Agence de financement des infrastructures de transport de France,Agence de l'État,2013-01-01,139.0
101,11002,Taxe des industriels,,,Haute autorité de santé,Agence de l'État,2007-01-01,3.0
102,11002,Taxe des industriels,,,Haute autorité de santé,Agence de l'État,2008-01-01,3.0
103,11002,Taxe des industriels,,,Haute autorité de santé,Agence de l'État,2009-01-01,3.0
104,11002,Taxe des industriels,,,Haute autorité de santé,Agence de l'État,2010-01-01,4.2
105,11002,Taxe des industriels,,,Haute autorité de santé,Agence de l'État,2011-01-01,4.2
106,11002,Taxe des industriels,,,Haute autorité de santé,Agence de l'État,2012-01-01,3.3
107,11002,Taxe des industriels,,,Haute autorité de santé,Agence de l'État,2013-01-01,4.62
108,11003,Fraction de 44% de la taxe sur les dipositifs médicaux,,,Haute autorité de santé,Agence de l'État,2007-01-01,8.0
109,11003,Fraction de 44% de la taxe sur les dipositifs médicaux,,,Haute autorité de santé,Agence de l'État,2008-01-01,8.0
110,11003,Fraction de 44% de la taxe sur les dipositifs médicaux,,,Haute autorité de santé,Agence de l'État,2009-01-01,7.0
111,11003,Fraction de 44% de la taxe sur les dipositifs médicaux,,,Haute autorité de santé,Agence de l'État,2010-01-01,8.9
112,11003,Fraction de 44% de la taxe sur les dipositifs médicaux,,,Haute autorité de santé,Agence de l'État,2011-01-01,12.1
113,11003,Fraction de 44% de la taxe sur les dipositifs médicaux,,,Haute autorité de santé,Agence de l'État,2012-01-01,10.0
114,11003,Fraction de 44% de la taxe sur les dipositifs médicaux,,,Haute autorité de santé,Agence de l'État,2013-01-01,10.0
115,11004,Contribution au fonds de garantie des dépôts,,,Fonds de garantie des dépôts,Prélèvements péréquateurs,2007-01-01,2.1196
116,11004,Contribution au fonds de garantie des dépôts,,,Fonds de garantie des dépôts,Prélèvements péréquateurs,2008-01-01,1.7731
117,11004,Contribution au fonds de garantie des dépôts,,,Fonds de garantie des dépôts,Prélèvements péréquateurs,2009-01-01,1.969
118,11004,Contribution au fonds de garantie des dépôts,,,Fonds de garantie des dépôts,Prélèvements péréquateurs,2010-01-01,90.8
119,11004,Contribution au fonds de garantie des dépôts,,,Fonds de garantie des dépôts,Prélèvements péréquateurs,2011-01-01,90.8
120,11004,Contribution au fonds de garantie des dépôts,,,Fonds de garantie des dépôts,Prélèvements péréquateurs,2012-01-01,90.8
121,11004,Contribution au fonds de garantie des dépôts,,,Fonds de garantie des dépôts,Prélèvements péréquateurs,2013-01-01,0.8
122,12000,CVO agricole,,,ACTA,Organisme professionnel,2009-01-01,0.0
123,12000,CVO agricole,,,ACTA,Organisme professionnel,2010-01-01,0.0
124,12000,CVO agricole,,,ACTA,Organisme professionnel,2011-01-01,0.0
125,12000,CVO agricole,,,ACTA,Organisme professionnel,2012-01-01,0.0
126,12000,CVO agricole,,,ACTA,Organisme professionnel,2013-01-01,0.0
127,12000,CVO agricole,,,ADECIA,Organisme professionnel,2009-01-01,0.0
128,12000,CVO agricole,,,ADECIA,Organisme professionnel,2010-01-01,0.0
129,12000,CVO agricole,,,ADECIA,Organisme professionnel,2011-01-01,0.0
130,12000,CVO agricole,,,ADECIA,Organisme professionnel,2012-01-01,0.0
131,12000,CVO agricole,,,ADECIA,Organisme professionnel,2013-01-01,0.0
132,12000,CVO agricole,,,AFICAR,Organisme professionnel,2009-01-01,0.0
133,12000,CVO agricole,,,AFICAR,Organisme professionnel,2010-01-01,0.0
134,12000,CVO agricole,,,AFICAR,Organisme professionnel,2011-01-01,0.0
135,12000,CVO agricole,,,AFICAR,Organisme professionnel,2012-01-01,0.0
136,12000,CVO agricole,,,AFICAR,Organisme professionnel,2013-01-01,0.0
137,12000,CVO agricole,,,AFIDOL,Organisme professionnel,2009-01-01,1.036
138,12000,CVO agricole,,,AFIDOL,Organisme professionnel,2010-01-01,0.84
139,12000,CVO agricole,,,AFIDOL,Organisme professionnel,2011-01-01,0.968
140,12000,CVO agricole,,,AFIDOL,Organisme professionnel,2012-01-01,0.0
141,12000,CVO agricole,,,AFIDOL,Organisme professionnel,2013-01-01,0.0
142,12000,CVO agricole,,,Agence Bio,Organisme professionnel,2009-01-01,0.0
143,12000,CVO agricole,,,Agence Bio,Organisme professionnel,2010-01-01,0.0
144,12000,CVO agricole,,,Agence Bio,Organisme professionnel,2011-01-01,0.0
145,12000,CVO agricole,,,Agence Bio,Organisme professionnel,2012-01-01,0.0
146,12000,CVO agricole,,,Agence Bio,Organisme professionnel,2013-01-01,0.0
147,12000,CVO agricole,,,AIBS,Organisme professionnel,2009-01-01,4.084
148,12000,CVO agricole,,,AIBS,Organisme professionnel,2010-01-01,4.578
149,12000,CVO agricole,,,AIBS,Organisme professionnel,2011-01-01,3.771
150,12000,CVO agricole,,,AIBS,Organisme professionnel,2012-01-01,0.0
151,12000,CVO agricole,,,AIBS,Organisme professionnel,2013-01-01,0.0
152,12000,CVO agricole,,,ANIBI,Organisme professionnel,2009-01-01,0.0
153,12000,CVO agricole,,,ANIBI,Organisme professionnel,2010-01-01,0.0
154,12000,CVO agricole,,,ANIBI,Organisme professionnel,2011-01-01,0.0
155,12000,CVO agricole,,,ANIBI,Organisme professionnel,2012-01-01,0.0
156,12000,CVO agricole,,,ANIBI,Organisme professionnel,2013-01-01,0.0
157,12000,CVO agricole,,,ANICAP,Organisme professionnel,2009-01-01,0.911
158,12000,CVO agricole,,,ANICAP,Organisme professionnel,2010-01-01,1.118
159,12000,CVO agricole,,,ANICAP,Organisme professionnel,2011-01-01,1.714
160,12000,CVO agricole,,,ANICAP,Organisme professionnel,2012-01-01,0.0
161,12000,CVO agricole,,,ANICAP,Organisme professionnel,2013-01-01,0.0
162,12000,CVO agricole,,,ANIVIN,Organisme professionnel,2009-01-01,2.544
163,12000,CVO agricole,,,ANIVIN,Organisme professionnel,2010-01-01,1.21
164,12000,CVO agricole,,,ANIVIN,Organisme professionnel,2011-01-01,1.104
165,12000,CVO agricole,,,ANIVIN,Organisme professionnel,2012-01-01,0.0
166,12000,CVO agricole,,,ANIVIN,Organisme professionnel,2013-01-01,0.0
167,12000,CVO agricole,,,ANSGAEC,Organisme professionnel,2009-01-01,0.0
168,12000,CVO agricole,,,ANSGAEC,Organisme professionnel,2010-01-01,0.0
169,12000,CVO agricole,,,ANSGAEC,Organisme professionnel,2011-01-01,0.0
170,12000,CVO agricole,,,ANSGAEC,Organisme professionnel,2012-01-01,0.0
171,12000,CVO agricole,,,ANSGAEC,Organisme professionnel,2013-01-01,0.0
172,12000,CVO agricole,,,APCA,Organisme professionnel,2009-01-01,0.0
173,12000,CVO agricole,,,APCA,Organisme professionnel,2010-01-01,0.0
174,12000,CVO agricole,,,APCA,Organisme professionnel,2011-01-01,0.0
175,12000,CVO agricole,,,APCA,Organisme professionnel,2012-01-01,0.0
176,12000,CVO agricole,,,APCA,Organisme professionnel,2013-01-01,0.0
177,12000,CVO agricole,,,ARTB,Organisme professionnel,2009-01-01,0.0
178,12000,CVO agricole,,,ARTB,Organisme professionnel,2010-01-01,0.0
179,12000,CVO agricole,,,ARTB,Organisme professionnel,2011-01-01,0.0
180,12000,CVO agricole,,,ARTB,Organisme professionnel,2012-01-01,0.0
181,12000,CVO agricole,,,ARTB,Organisme professionnel,2013-01-01,0.0
182,12000,CVO agricole,,,ARVALIS,Organisme professionnel,2009-01-01,0.0
183,12000,CVO agricole,,,ARVALIS,Organisme professionnel,2010-01-01,0.0
184,12000,CVO agricole,,,ARVALIS,Organisme professionnel,2011-01-01,0.0
185,12000,CVO agricole,,,ARVALIS,Organisme professionnel,2012-01-01,0.0
186,12000,CVO agricole,,,ARVALIS,Organisme professionnel,2013-01-01,0.0
187,12000,CVO agricole,,,ASTREDHOR,Organisme professionnel,2009-01-01,0.0
188,12000,CVO agricole,,,ASTREDHOR,Organisme professionnel,2010-01-01,0.0
189,12000,CVO agricole,,,ASTREDHOR,Organisme professionnel,2011-01-01,0.28
190,12000,CVO agricole,,,ASTREDHOR,Organisme professionnel,2012-01-01,0.0
191,12000,CVO agricole,,,ASTREDHOR,Organisme professionnel,2013-01-01,0.0
192,12000,CVO agricole,,,ATM,Organisme professionnel,2009-01-01,12.449
193,12000,CVO agricole,,,ATM,Organisme professionnel,2010-01-01,13.713
194,12000,CVO agricole,,,ATM,Organisme professionnel,2011-01-01,13.174
195,12000,CVO agricole,,,ATM,Organisme professionnel,2012-01-01,0.0
196,12000,CVO agricole,,,ATM,Organisme professionnel,2013-01-01,0.0
197,12000,CVO agricole,,,BIK,Organisme professionnel,2009-01-01,0.684
198,12000,CVO agricole,,,BIK,Organisme professionnel,2010-01-01,0.82
199,12000,CVO agricole,,,BIK,Organisme professionnel,2011-01-01,0.72
200,12000,CVO agricole,,,BIK,Organisme professionnel,2012-01-01,0.0
201,12000,CVO agricole,,,BIK,Organisme professionnel,2013-01-01,0.0
202,12000,CVO agricole,,,BIP,Organisme professionnel,2009-01-01,0.0
203,12000,CVO agricole,,,BIP,Organisme professionnel,2010-01-01,0.0
204,12000,CVO agricole,,,BIP,Organisme professionnel,2011-01-01,0.0
205,12000,CVO agricole,,,BIP,Organisme professionnel,2012-01-01,0.0
206,12000,CVO agricole,,,BIP,Organisme professionnel,2013-01-01,0.0
207,12000,CVO agricole,,,BIVB,Organisme professionnel,2009-01-01,9.496
208,12000,CVO agricole,,,BIVB,Organisme professionnel,2010-01-01,8.437
209,12000,CVO agricole,,,BIVB,Organisme professionnel,2011-01-01,10.819
210,12000,CVO agricole,,,BIVB,Organisme professionnel,2012-01-01,0.0
211,12000,CVO agricole,,,BIVB,Organisme professionnel,2013-01-01,0.0
212,12000,CVO agricole,,,BIVC,Organisme professionnel,2009-01-01,0.788
213,12000,CVO agricole,,,BIVC,Organisme professionnel,2010-01-01,0.76
214,12000,CVO agricole,,,BIVC,Organisme professionnel,2011-01-01,0.885
215,12000,CVO agricole,,,BIVC,Organisme professionnel,2012-01-01,0.0
216,12000,CVO agricole,,,BIVC,Organisme professionnel,2013-01-01,0.0
217,12000,CVO agricole,,,BNIA,Organisme professionnel,2009-01-01,0.275
218,12000,CVO agricole,,,BNIA,Organisme professionnel,2010-01-01,0.745
219,12000,CVO agricole,,,BNIA,Organisme professionnel,2011-01-01,0.832
220,12000,CVO agricole,,,BNIA,Organisme professionnel,2012-01-01,0.0
221,12000,CVO agricole,,,BNIA,Organisme professionnel,2013-01-01,0.0
222,12000,CVO agricole,,,BNIC,Organisme professionnel,2009-01-01,9.569
223,12000,CVO agricole,,,BNIC,Organisme professionnel,2010-01-01,8.758
224,12000,CVO agricole,,,BNIC,Organisme professionnel,2011-01-01,10.038
225,12000,CVO agricole,,,BNIC,Organisme professionnel,2012-01-01,0.0
226,12000,CVO agricole,,,BNIC,Organisme professionnel,2013-01-01,0.0
227,12000,CVO agricole,,,CENECA,Organisme professionnel,2009-01-01,0.0
228,12000,CVO agricole,,,CENECA,Organisme professionnel,2010-01-01,0.0
229,12000,CVO agricole,,,CENECA,Organisme professionnel,2011-01-01,0.0
230,12000,CVO agricole,,,CENECA,Organisme professionnel,2012-01-01,0.0
231,12000,CVO agricole,,,CENECA,Organisme professionnel,2013-01-01,0.0
232,12000,CVO agricole,,,CETIOM,Organisme professionnel,2009-01-01,0.0
233,12000,CVO agricole,,,CETIOM,Organisme professionnel,2010-01-01,0.0
234,12000,CVO agricole,,,CETIOM,Organisme professionnel,2011-01-01,0.0
235,12000,CVO agricole,,,CETIOM,Organisme professionnel,2012-01-01,0.0
236,12000,CVO agricole,,,CETIOM,Organisme professionnel,2013-01-01,0.0
237,12000,CVO agricole,,,CIDEF,Organisme professionnel,2009-01-01,1.248
238,12000,CVO agricole,,,CIDEF,Organisme professionnel,2010-01-01,0.794
239,12000,CVO agricole,,,CIDEF,Organisme professionnel,2011-01-01,0.76
240,12000,CVO agricole,,,CIDEF,Organisme professionnel,2012-01-01,0.0
241,12000,CVO agricole,,,CIDEF,Organisme professionnel,2013-01-01,0.0
242,12000,CVO agricole,,,CIF,Organisme professionnel,2009-01-01,1.0
243,12000,CVO agricole,,,CIF,Organisme professionnel,2010-01-01,1.0
244,12000,CVO agricole,,,CIF,Organisme professionnel,2011-01-01,0.0
245,12000,CVO agricole,,,CIF,Organisme professionnel,2012-01-01,0.0
246,12000,CVO agricole,,,CIF,Organisme professionnel,2013-01-01,0.0
247,12000,CVO agricole,,,CIFG,Organisme professionnel,2009-01-01,0.241
248,12000,CVO agricole,,,CIFG,Organisme professionnel,2010-01-01,0.261
249,12000,CVO agricole,,,CIFG,Organisme professionnel,2011-01-01,0.293
250,12000,CVO agricole,,,CIFG,Organisme professionnel,2012-01-01,0.0
251,12000,CVO agricole,,,CIFG,Organisme professionnel,2013-01-01,0.0
252,12000,CVO agricole,,,CIFOG,Organisme professionnel,2009-01-01,2.845
253,12000,CVO agricole,,,CIFOG,Organisme professionnel,2010-01-01,5.506
